#https://en.wikipedia.org/wiki/118th_United_States_Congress#House_of_Representatives_3
#Race is (W)hite or Person of (C)olor
State,District,Name,Party,Sex,Race
Alabama,1,Jerry Carl,R,M,W
Alabama,2,Barry Moore,R,M,W
Alabama,3,Mike Rogers,R,M,W
Alabama,4,Robert Aderholt,R,M,W
Alabama,5,Dale Strong,R,M,W
Alabama,6,Gary Palmer,R,M,W
Alabama,7,Terri Sewell,D,F,C
Alaska,1,Mary Peltola,D,F,C
Arizona,1,David Schweikert,R,M,W
Arizona,2,Eli Crane,R,M,W
Arizona,3,Ruben Gallego,D,M,C
Arizona,4,Greg Stanton,D,M,W
Arizona,5,Andy Biggs,R,M,W
Arizona,6,Juan Ciscomani,R,M,C
Arizona,7,Raul Grijalva,D,M,C
Arizona,8,Debbie Lesko,R,F,W
Arizona,9,Paul Gosar,R,F,W
Arkansas,1,Rick Crawford,R,M,W
Arkansas,2,French Hill,R,M,W
Arkansas,3,Steve Womack,R,M,W
Arkansas,4,Bruce Westerman,R,M,W
California,1,Doug LaMalfa,R,M,W
California,2,Jared Huffman,D,M,W
California,3,Kevin Kiley,R,M,W
California,4,Mike Thompson,D,M,W
California,5,Tom McClintock,R,M,W
California,6,Ami Bera,D,M,C
California,7,Doris Matsui,D,F,C
California,8,John Garamendi,D,M,W
California,9,Josh Harder,D,M,W
California,10,Mark DeSaulnier,D,M,W
California,11,Nancy Pelosi,D,F,W
California,12,Barbara Lee,D,F,C
California,13,John Duarte,R,M,W
California,14,Eric Swalwell,D,M,W
California,15,Kevin Mullin,D,M,W
California,16,Anna Eshoo,D,F,C
California,17,Ro Khanna,D,M,C
California,18,Zoe Lofgren,D,F,W
California,19,Jimmy Panetta,D,M,W
California,20,Kevin McCarthy,R,M,W
California,21,Jim Costa,D,M,W
California,22,David Valadao,R,M,C
California,23,Jay Obernolte,R,M,W
California,24,Salud Carbajal,D,M,C
California,25,Raul Ruiz,D,M,C
California,26,Julia Brownley,D,F,W
California,27,Mike Garcia,R,M,C
California,28,Judy Chu,D,F,C
California,29,Tony Cárdenas,D,M,C
California,30,Adam Schiff,D,M,W
California,31,Grace Napolitano,D,F,C
California,32,Brad Sherman,D,M,W
California,33,Pete Aguilar,D,M,C
California,34,Jimmy Gomez,D,M,C
California,35,Norma Torres,D,F,C
California,36,Ted Lieu,D,M,C
California,37,Sydney Kamlager-Dove,D,F,C
California,38,Linda Sánchez,D,F,C
California,39,Mark Takano,D,M,C
California,40,Young Kim,R,F,C
California,41,Ken Calvert,R,M,W
California,42,Robert Garcia,D,M,C
California,43,Maxine Waters,D,F,C
California,44,Nanette Barragan,D,F,C
California,45,Michelle Steel,R,F,C
California,46,Lou Correa,D,M,C
California,47,Katie Porter,D,F,W
California,48,Darrell Issa,R,M,C
California,49,Mike Levin,D,M,W
California,50,Scott Peters,D,M,W
California,51,Sara Jacobs,D,F,W
California,52,Juan Vargas,D,M,C
Colorado,1,Diana DeGette,D,F,W
Colorado,2,Joe Neguse,D,M,C
Colorado,3,Lauren Boebert,R,F,W
Colorado,4,Ken Buck,R,M,W
Colorado,5,Doug Lamborn,R,M,W
Colorado,6,Jason Crow,D,M,W
Colorado,7,Brittany Pettersen,D,F,W
Colorado,8,Yadira Caraveo,D,F,C
Connecticut,1,John B. Larson,D,M,W
Connecticut,2,Joe Courtney,D,M,W
Connecticut,3,Rosa DeLauro,D,F,W
Connecticut,4,Jim Himes,D,M,W
Connecticut,5,Jahana Hayes,D,F,C
Delaware,1,Lisa Blunt Rochester,D,F,C
Florida,1,Matt Gaetz,R,M,W
Florida,2,Neal Dunn,R,M,W
Florida,3,Kat Cammack,R,F,W
Florida,4,Aaron Bean,R,M,W
Florida,5,John Rutherford,R,M,W
Florida,6,Michael Waltz,R,M,W
Florida,7,Cory Mills,R,M,W
Florida,8,Bill Posey,R,M,W
Florida,9,Darren Soto,D,M,W
Florida,10,Maxwell Frost,D,M,C
Florida,11,Daniel Webster,R,M,W
Florida,12,Gus Bilirakis,R,M,W
Florida,13,Anna Paulina Luna,R,F,C
Florida,14,Kathy Castor,D,F,W
Florida,15,Laurel Lee,R,F,W
Florida,16,Vern Buchanan,R,M,W
Florida,17,Greg Steube,R,M,W
Florida,18,Scott Franklin,R,M,W
Florida,19,Byron Donalds,R,M,C
Florida,20,Sheila Cherfilus-McCormick,D,F,C
Florida,21,Brian Mast,R,M,C
Florida,22,Lois Frankel,D,F,W
Florida,23,Jared Moskowitz,D,M,W
Florida,24,Frederica Wilson,D,F,C
Florida,25,Debbie Wasserman Schultz,D,F,W
Florida,26,Mario Díaz-Balart,R,M,C
Florida,27,María Elvira Salazar,R,F,C
Florida,28,Carlos A. Giménez,R,M,C
